63.4	38.5	3
63.64	38.15	2.82
63.88	37.8	2.64
64.12	37.45	2.46
64.36	37.1	2.28
64.6	36.75	2.1
64.84	36.4	1.92
65.08	36.05	1.74
65.32	35.7	1.56
65.56	35.35	1.38
65.8	35	1.2
68.7	35.84	0.97
71.6	36.68	0.74
74.5	37.52	0.51
77.4	38.36	0.28
80.3	39.2	0.05
83.2	40.04	-0.18
86.1	40.88	-0.41
89	41.72	-0.64
91.9	42.56	-0.87
94.8	43.4	-1.1
95.8	43.69	-1.04
96.8	43.98	-0.98
97.8	44.27	-0.92
98.8	44.56	-0.86
99.8	44.85	-0.8
100.8	45.14	-0.74
101.8	45.43	-0.68
102.8	45.72	-0.62
103.8	46.01	-0.56
104.8	46.3	-0.5
104.91	46.06	-0.52
105.02	45.82	-0.54
105.13	45.58	-0.56
105.24	45.34	-0.58
105.35	45.1	-0.6
105.46	44.86	-0.62
105.57	44.62	-0.64
105.68	44.38	-0.66
105.79	44.14	-0.68
105.9	43.9	-0.7
104.99	43.22	-0.75
104.08	42.54	-0.8
103.17	41.86	-0.85
102.26	41.18	-0.9
101.35	40.5	-0.95
100.44	39.82	-1
99.53	39.14	-1.05
98.62	38.46	-1.1
97.71	37.78	-1.15
96.8	37.1	-1.2
98.51	37.06	-1.34
100.22	37.02	-1.48
101.93	36.98	-1.62
103.64	36.94	-1.76
105.35	36.9	-1.9
107.06	36.86	-2.04
108.77	36.82	-2.18
110.48	36.78	-2.32
112.19	36.74	-2.46
113.9	36.7	-2.6
115.07	36.62	-2.63
116.24	36.54	-2.66
117.41	36.46	-2.69
118.58	36.38	-2.72
119.75	36.3	-2.75
120.92	36.22	-2.78
122.09	36.14	-2.81
123.26	36.06	-2.84
124.43	35.98	-2.87
125.6	35.9	-2.9
125.59	35.57	-2.89
125.58	35.24	-2.88
125.57	34.91	-2.87
125.56	34.58	-2.86
125.55	34.25	-2.85
125.54	33.92	-2.84
125.53	33.59	-2.83
125.52	33.26	-2.82
125.51	32.93	-2.81
125.5	32.6	-2.8
125.08	32.13	-2.78
124.66	31.66	-2.76
124.24	31.19	-2.74
123.82	30.72	-2.72
123.4	30.25	-2.7
122.98	29.78	-2.68
122.56	29.31	-2.66
122.14	28.84	-2.64
121.72	28.37	-2.62
121.3	27.9	-2.6
121.3	27.54	-2.6
121.3	27.18	-2.6
121.3	26.82	-2.6
121.3	26.46	-2.6
121.3	26.1	-2.6
121.3	25.74	-2.6
121.3	25.38	-2.6
121.3	25.02	-2.6
121.3	24.66	-2.6
121.3	24.3	-2.6
120.52	23.88	-2.52
119.74	23.46	-2.44
118.96	23.04	-2.36
118.18	22.62	-2.28
117.4	22.2	-2.2
116.62	21.78	-2.12
115.84	21.36	-2.04
115.06	20.94	-1.96
114.28	20.52	-1.88
113.5	20.1	-1.8
113.46	19.71	-1.77
113.42	19.32	-1.74
113.38	18.93	-1.71
113.34	18.54	-1.68
113.3	18.15	-1.65
113.26	17.76	-1.62
113.22	17.37	-1.59
113.18	16.98	-1.56
113.14	16.59	-1.53
113.1	16.2	-1.5
112.87	15.9	-1.48
112.64	15.6	-1.46
112.41	15.3	-1.44
112.18	15	-1.42
111.95	14.7	-1.4
111.72	14.4	-1.38
111.49	14.1	-1.36
111.26	13.8	-1.34
111.03	13.5	-1.32
110.8	13.2	-1.3
110.37	12.74	-1.29
109.94	12.28	-1.28
109.51	11.82	-1.27
109.08	11.36	-1.26
108.65	10.9	-1.25
108.22	10.44	-1.24
107.79	9.98	-1.23
107.36	9.52	-1.22
106.93	9.06	-1.21
106.5	8.6	-1.2
106.73	8.35	-1.18
106.96	8.1	-1.16
107.19	7.85	-1.14
107.42	7.6	-1.12
107.65	7.35	-1.1
107.88	7.1	-1.08
108.11	6.85	-1.06
108.34	6.6	-1.04
108.57	6.35	-1.02
108.8	6.1	-1
108.45	5.91	-0.95
108.1	5.72	-0.9
107.75	5.53	-0.85
107.4	5.34	-0.8
107.05	5.15	-0.75
106.7	4.96	-0.7
106.35	4.77	-0.65
106	4.58	-0.6
105.65	4.39	-0.55
105.3	4.2	-0.5
105.21	3.97	-0.48
105.12	3.74	-0.46
105.03	3.51	-0.44
104.94	3.28	-0.42
104.85	3.05	-0.4
104.76	2.82	-0.38
104.67	2.59	-0.36
104.58	2.36	-0.34
104.49	2.13	-0.32
104.4	1.9	-0.3
103.96	1.71	-0.27
103.52	1.52	-0.24
103.08	1.33	-0.21
102.64	1.14	-0.18
102.2	0.95	-0.15
101.76	0.76	-0.12
101.32	0.57	-0.09
100.88	0.38	-0.06
100.44	0.19	-0.03
100	0	0
99.6	-0.16	0.02
99.2	-0.32	0.04
98.8	-0.48	0.06
98.4	-0.64	0.08
98	-0.8	0.1
97.6	-0.96	0.12
97.2	-1.12	0.14
96.8	-1.28	0.16
96.4	-1.44	0.18
96	-1.6	0.2
95.91	-1.79	0.23
95.82	-1.98	0.26
95.73	-2.17	0.29
95.64	-2.36	0.32
95.55	-2.55	0.35
95.46	-2.74	0.38
95.37	-2.93	0.41
95.28	-3.12	0.44
95.19	-3.31	0.47
95.1	-3.5	0.5
94.5	-3.5	0.66
93.9	-3.5	0.82
93.3	-3.5	0.98
92.7	-3.5	1.14
92.1	-3.5	1.3
91.5	-3.5	1.46
90.9	-3.5	1.62
90.3	-3.5	1.78
89.7	-3.5	1.94
89.1	-3.5	2.1
89.24	-3.73	2.21
89.38	-3.96	2.32
89.52	-4.19	2.43
89.66	-4.42	2.54
89.8	-4.65	2.65
89.94	-4.88	2.76
90.08	-5.11	2.87
90.22	-5.34	2.98
90.36	-5.57	3.09
90.5	-5.8	3.2
90.48	-5.94	3.29
90.46	-6.08	3.38
90.44	-6.22	3.47
90.42	-6.36	3.56
90.4	-6.5	3.65
90.38	-6.64	3.74
90.36	-6.78	3.83
90.34	-6.92	3.92
90.32	-7.06	4.01
90.3	-7.2	4.1
90.11	-7.34	4.16
89.92	-7.48	4.22
89.73	-7.62	4.28
89.54	-7.76	4.34
89.35	-7.9	4.4
89.16	-8.04	4.46
88.97	-8.18	4.52
88.78	-8.32	4.58
88.59	-8.46	4.64
88.4	-8.6	4.7
87.96	-8.69	4.74
87.52	-8.78	4.78
87.08	-8.87	4.82
86.64	-8.96	4.86
86.2	-9.05	4.9
85.76	-9.14	4.94
85.32	-9.23	4.98
84.88	-9.32	5.02
84.44	-9.41	5.06
84	-9.5	5.1
84.11	-9.64	5.26
84.22	-9.78	5.42
84.33	-9.92	5.58
84.44	-10.06	5.74
84.55	-10.2	5.9
84.66	-10.34	6.06
84.77	-10.48	6.22
84.88	-10.62	6.38
84.99	-10.76	6.54
85.1	-10.9	6.7
84.78	-10.88	6.76
84.46	-10.86	6.82
84.14	-10.84	6.88
83.82	-10.82	6.94
83.5	-10.8	7
83.18	-10.78	7.06
82.86	-10.76	7.12
82.54	-10.74	7.18
82.22	-10.72	7.24
81.9	-10.7	7.3
81.97	-10.83	7.43
82.04	-10.96	7.56
